range_label,total_return_pct,sharpe,win_rate_pct,profit_factor,trades
Range 1,0.009403666068541485,0.0350756691557987,33.33333333333333,1.0,66
Range 2,-0.44060085956062,-2.4748245024425963,14.814814814814811,0.3478260869565217,27
Range 3,0.1377342366807,0.5872808850058566,40.74074074074074,1.3749999999999998,27
Range 4,1.8192701258625599,2.454488518302979,73.58490566037736,5.57142857142857,53
Range 5,-0.24143082990561998,-0.5867272192622424,30.88235294117647,0.8936170212765956,68
